family,Total_Specimens,Authenticated,Success_Rate,Success_Pct,CI_Lower,CI_Upper,95_CI
Helotidae,4,4,1.0,100.0,100.0,100.0,100.0-100.0
Heteroceridae,4,1,0.25,25.0,-17.435244785437494,67.4352447854375,0.0-67.4
Histeridae,453,307,0.6777041942604857,67.8,63.46659660605509,72.07424224604205,63.5-72.1
Hybosoridae,43,38,0.8837209302325582,88.4,78.7906661696423,97.95351987686935,78.8-98.0
Hydraenidae,3,0,0.0,0.0,0.0,0.0,0.0-0.0
Hydrophilidae,250,223,0.892,89.2,85.35248455441698,93.04751544558303,85.4-93.0
Kateretidae,1,1,1.0,100.0,100.0,100.0,100.0-100.0
Laemophloeidae,49,30,0.6122448979591837,61.2,47.58181964013172,74.86715995170502,47.6-74.9
Lampyridae,89,74,0.8314606741573034,83.1,75.36870117205751,90.92343365940317,75.4-90.9
Latridiidae,33,26,0.7878787878787878,78.8,64.8395924080091,92.73616516774848,64.8-92.7
Leiodidae,230,185,0.8043478260869565,80.4,75.30786381733058,85.56170140006071,75.3-85.6
Limnichidae,24,22,0.9166666666666666,91.7,80.60894772702328,102.72438560631005,80.6-100.0
Lucanidae,6,6,1.0,100.0,100.0,100.0,100.0-100.0
Lycidae,89,77,0.8651685393258427,86.5,79.42096111369091,93.61274675147764,79.4-93.6
Lymexylidae,8,8,1.0,100.0,100.0,100.0,100.0-100.0
Megalopodidae,3,1,0.3333333333333333,33.3,-20.011109953944768,86.67777662061143,0.0-86.7
Melandryidae,18,0,0.0,0.0,0.0,0.0,0.0-0.0
Meloidae,6,4,0.6666666666666666,66.7,28.946449079611114,104.3868842537222,28.9-100.0
Melyridae,58,48,0.8275862068965517,82.8,73.0370889216067,92.48015245770364,73.0-92.5
Miridae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Monotomidae,24,22,0.9166666666666666,91.7,80.60894772702328,102.72438560631005,80.6-100.0
Mordellidae,421,389,0.9239904988123515,92.4,89.86752198524705,94.93057777722325,89.9-94.9
Mycetophagidae,35,14,0.4,40.0,23.769658044267832,56.23034195573218,23.8-56.2
Mycteridae,21,17,0.8095238095238095,81.0,64.15731994998879,97.74744195477312,64.2-97.7
Nitidulidae,558,484,0.8673835125448028,86.7,83.92422671273249,89.55247579622807,83.9-89.6
Nosodendridae,3,3,1.0,100.0,100.0,100.0,100.0-100.0
Noteridae,3,3,1.0,100.0,100.0,100.0,100.0-100.0
Ochodaeidae,5,0,0.0,0.0,0.0,0.0,0.0-0.0
Oedemeridae,27,19,0.7037037037037037,70.4,53.14644166750504,87.5942990732357,53.1-87.6
Omethidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Passalidae,3,2,0.6666666666666666,66.7,13.322223379388564,120.01110995394475,13.3-100.0
Passandridae,12,7,0.5833333333333334,58.3,30.438856248221096,86.22781041844559,30.4-86.2
Peltidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Phalacridae,133,111,0.8345864661654135,83.5,77.1439652733111,89.7733279597716,77.1-89.8
Phengodidae,41,35,0.8536585365853658,85.4,74.54678358551452,96.18492373155864,74.5-96.2
Platypodidae,239,188,0.7866108786610879,78.7,73.46683327144135,83.85534246077624,73.5-83.9
Prionoceridae,8,7,0.875,87.5,64.58234850600961,110.41765149399039,64.6-100.0
Propalticidae,1,1,1.0,100.0,100.0,100.0,100.0-100.0
Prostomidae,1,1,1.0,100.0,100.0,100.0,100.0-100.0
Psephenidae,20,18,0.9,90.0,76.85192029230123,103.14807970769877,76.9-100.0
Pterogeniidae,2,0,0.0,0.0,0.0,0.0,0.0-0.0
Ptiliidae,133,96,0.7218045112781954,72.2,64.56465887830964,79.79624337732945,64.6-79.8
Ptilodactylidae,165,154,0.9333333333333333,93.3,89.52717493531024,97.13949173135643,89.5-97.1
Ptinidae,122,8,0.06557377049180328,6.6,2.1648570804403993,10.949897017920257,2.2-10.9
Pyrochroidae,1,1,1.0,100.0,100.0,100.0,100.0-100.0
Rhagophthalmidae,20,14,0.7,70.0,49.91597649871918,90.08402350128081,49.9-90.1
Ripiphoridae,6,2,0.3333333333333333,33.3,-4.386884253722218,71.05355092038887,0.0-71.1
Salpingidae,24,20,0.8333333333333334,83.3,68.4231081568038,98.24355850986286,68.4-98.2
Salticidae,39,0,0.0,0.0,0.0,0.0,0.0-0.0
Scarabaeidae,895,728,0.8134078212290503,81.3,78.78840147228792,83.89316277352215,78.8-83.9
Scirtidae,71,61,0.8591549295774648,85.9,77.82391047033028,94.00707544516267,77.8-94.0
Scraptiidae,45,37,0.8222222222222222,82.2,71.05145103381456,93.39299341062987,71.1-93.4
Silphidae,3,2,0.6666666666666666,66.7,13.322223379388564,120.01110995394475,13.3-100.0
Silvanidae,46,36,0.782608695652174,78.3,66.34102549466729,90.18071363576749,66.3-90.2
Sphindidae,24,14,0.5833333333333334,58.3,38.60895942879771,78.05770723786895,38.6-78.1
Staphylinidae,3949,3505,0.8875664725246898,88.8,87.77136453063217,89.74192997430579,87.8-89.7
Telegeusidae,1,0,0.0,0.0,0.0,0.0,0.0-0.0
Tenebrionidae,459,415,0.9041394335511983,90.4,87.72062661980794,93.10726009043171,87.7-93.1
Teredidae,2,0,0.0,0.0,0.0,0.0,0.0-0.0
Tetratomidae,3,1,0.3333333333333333,33.3,-20.011109953944768,86.67777662061143,0.0-86.7
Throscidae,28,25,0.8928571428571429,89.3,77.8292750483247,100.7421535231039,77.8-100.0
Trogidae,3,1,0.3333333333333333,33.3,-20.011109953944768,86.67777662061143,0.0-86.7
Trogossitidae,14,12,0.8571428571428571,85.7,67.38398293446235,104.04458849410906,67.4-100.0
Unknown,66,0,0.0,0.0,0.0,0.0,0.0-0.0
Zopheridae,65,38,0.5846153846153846,58.5,46.48145849998153,70.4416184230954,46.5-70.4
